Table 1
Category Name,Segment Custom,Form,Package Configuration Value,Value Sales,Unit Sales,Price (Euro)
,,,REFILL AO,"23,543",1519, € 	15.50 
,,,STARTER 1,"136,561",1622, € 	84.19 
,,,STARTER 2,"143,146",2468, € 	58.00 
,,,STARTER AO,"1,427",129, € 	11.06 
,MOTH,,REFILL 1,459,18, € 	25.50 
,,,REFILL 2,122,11, € 	11.05 
,,,REFILL AO,906,50, € 	18.11 
,,,STARTER 1,"40,426",3359, € 	12.04 
,,,STARTER 2,"6,959",463, € 	15.03 
,,,STARTER 3,"1,630",164, € 	9.94 
,,,STARTER 4,"1,235",106, € 	11.65 
,,,STARTER 5,,,
,,,STARTER 6,,,
,,,STARTER AO,,,
,,ALL OTHER FORM,STARTER 1,"16,031",3778, € 	4.24 
,,,STARTER 2,28,2, € 	13.75 
,,BAIT SOLID,STARTER 1,"1,161",63, € 	18.42 
,,BALL,STARTER 1,"44,447",3998, € 	11.12 
,,,STARTER 2,,,
,,,STARTER 6,,,
,,,STARTER AO,"4,599",286, € 	16.08 
,,CAPSULE/PAC,STARTER 2,"8,651",748, € 	11.57 
,,ELECTRIC LIQUID,STARTER 1,,,
,,,STARTER 4,"3,720",179, € 	20.78 
,,GEL TUBE,STARTER 1,"2,203",268, € 	8.22 
,,GLUE STRIP,STARTER 1,"13,626",745, € 	18.29 
,,,STARTER 2,191,9, € 	21.25 
,,,STARTER 5,"1,170",44, € 	26.59 
,,,STARTER 6,684,16, € 	42.73 
,,,STARTER AO,"1,606",118, € 	13.61 
,,LIQUID BOTTLE,STARTER 1,"12,334",574, € 	21.49 
,,LIQUID PUMP,STARTER 2,"3,986",105, € 	37.96 
,,LIQUID TRIGGER,STARTER 2,"2,343",58, € 	40.40 
,,PAPER/CARD,STARTER 1,"147,512",23371, € 	6.31 
,,,STARTER 2,,,
,,,STARTER 3,"31,283",2086, € 	15.00 
,,,STARTER 4,"2,061",109, € 	18.91 
,,,STARTER 6,"2,758",257, € 	10.73 
,,,STARTER AO,"8,336",982, € 	8.49 
,,PELLET/GRANULE,STARTER 3,655,32, € 	20.48 
,,SACHET,STARTER 1,"156,671",26916, € 	5.82 
,,,STARTER 2,"52,844",6082, € 	8.69 
,,,STARTER 3,"17,288",768, € 	22.51 
,,,STARTER 4,"8,564",470, € 	18.22 
,,,STARTER 5,"1,166",40, € 	29.16 
,,,STARTER 6,"27,156",1594, € 	17.04 
,,,STARTER AO,"107,799",23163, € 	4.65 
,,TRAP,REFILL 1,,,
,,,REFILL 2,"7,403",710, € 	10.43 
,,,STARTER 1,"228,220",24332, € 	9.38 
,,,STARTER 2,"26,337",1906, € 	13.82 
,,,STARTER 3,"102,993",5948, € 	17.32 
,,,STARTER 4,,,
,,,STARTER 5,,,
,,,STARTER 6,"752,045",67230, € 	11.19 
,,,STARTER AO,"20,749",945, € 	21.96 
,,WIPE,REFILL AO,,,
,,WOOD,REFILL 4,190,7, € 	27.15 
,,,STARTER 1,"14,726",893, € 	16.49 
,,,STARTER 2,"1,688",205, € 	8.23 
,,,STARTER 4,157,5, € 	31.39 
,,,STARTER 6,"11,311",447, € 	25.30 
,,,STARTER AO,"54,906",2341, € 	23.45 
