Category Name,Segment Custom,Form,Package Configuration Value,Value Sales,Unit Sales,Price (Euro),,,
,,ASSORTED FORM,STARTER 1,,,,,,
,,CANDLE,STARTER 1,"2,430",47, € 	51.69 ,,,
,,ELECTRIC LIQUID,STARTER 1,"1,940",281, € 	6.91 ,,,
,,GEL BOTTLE,STARTER 1,"177,967",22780, € 	7.81 ,,,
,,,STARTER 3,,,,,,
,,GEL TUBE,STARTER 1,"22,467",3416, € 	6.58 ,,,
,,LIQUID PUMP,STARTER 1,"267,322",36646, € 	7.29 ,,,
,,,STARTER 2,"958,488",90595, € 	10.58 ,,,
,,,STARTER 3,"4,061",155, € 	26.20 ,,,
,,,STARTER 6,"83,405",2913, € 	28.63 ,,,
,,,STARTER AO,372,44, € 	8.47 ,,,
,,LIQUID TRIGGER,STARTER 1,"2,909",200, € 	14.54 ,,,
,,,STARTER 4,"1,247",43, € 	28.99 ,,,
,,LOTION BOTTLE,STARTER 1,"3,822",278, € 	13.75 ,,,
,,,STARTER 4,"6,072",231, € 	26.29 ,,,
,,LOTION PUMP,STARTER 1,"1,398",79, € 	17.70 ,,,
,,LOTION TUBE,STARTER 1,"20,696",2584, € 	8.01 ,,,
,,OIL SPRAY,STARTER 1,"2,465",153, € 	16.11 ,,,
,,PATCH,STARTER 1,"2,850",309, € 	9.22 ,,,
,,,STARTER 6,"8,678",173, € 	50.16 ,,,
,,,STARTER AO,"20,019",2115, € 	9.47 ,,,
,,PELLET/GRANULE,STARTER 1,"4,647",309, € 	15.04 ,,,
,,ROLL ON,STARTER 1,"15,050",2020, € 	7.45 ,,,
,,STICK,STARTER 1,"7,875",974, € 	8.08 ,,,
,,,STARTER 3,,,,,,
,,WIPE,STARTER 1,"17,000",1052, € 	16.16 ,,,
,,,STARTER 4,595,23, € 	25.88 ,,,
,,WOOD,STARTER AO,"2,105",114, € 	18.46 ,,,
,,WRISTBAND,REFILL 1,"1,736",193, € 	8.99 ,,,
,,,STARTER 1,"331,373",22448, € 	14.76 ,,,
,,,STARTER 2,,,,,,
,,,STARTER 3,"6,754",260, € 	25.98 ,,,
,,,STARTER 4,,,,,,
,,,STARTER AO,"34,842",2934, € 	11.88 ,,,
,MULTI FLYING & CRAWLING,AEROSOL,REFILL 6,"5,644",73, € 	77.32 ,,,
,,,STARTER 1,"92,291",4903, € 	18.82 ,,,
,,ASSORTED FORM,STARTER 1,"5,633",434, € 	12.98 ,,,
,,GEL BOTTLE,STARTER 5,"4,648",103, € 	45.13 ,,,
,,LIQUID BOTTLE,STARTER 1,"68,766",3296, € 	20.86 ,,,
,,LIQUID PUMP,STARTER 1,"32,131",3691, € 	8.71 ,,,
,,LIQUID TRIGGER,STARTER 1,"7,088",413, € 	17.16 ,,,
,,,STARTER 2,"2,419",123, € 	19.67 ,,,
,,PELLET/GRANULE,STARTER 1,"3,252",186, € 	17.49 ,,,
,OTHER CRAWLING,LIQUID PUMP,STARTER 1,"144,150",11245, € 	12.82 ,,,
,,LOTION TUBE,STARTER 1,"9,854",1545, € 	6.38 ,,,
,OTHER FLYING,AEROSOL,REFILL 2,"1,328",127, € 	10.46 ,,,
,,,STARTER 1,"20,120",1370, € 	14.69 ,,,
,,GEL BOTTLE,STARTER 1,"1,583",140, € 	11.30 ,,,
,,LIQUID PUMP,STARTER 1,"24,615",2752, € 	8.94 ,,,
,,,STARTER 3,"15,504",617, € 	25.13 ,,,
,,,STARTER 6,424,9, € 	47.15 ,,,
,,LIQUID TRIGGER,STARTER 1,925,24, € 	38.56 ,,,
,,,STARTER 4,"6,349",159, € 	39.93 ,,,
,,LOTION PUMP,STARTER 1,"1,731",328, € 	5.28 ,,,
,,STICK,STARTER 4,"11,502",364, € 	31.60 ,,,
PERSONAL AFTERBITE,ALL,,STARTER 3,0,0,,,,
,,AEROSOL,STARTER 1,0,0,,,,
,,GEL BOTTLE,STARTER 1,0,0,,,,
,,,STARTER 3,0,0,,,,
,,GEL TUBE,STARTER 1,0,0,,,,
,,LIQUID PUMP,STARTER 1,0,0,,,,
,,,STARTER 2,0,0,,,,
,,,STARTER 3,0,0,,,,
,,PEN,STARTER 1,0,0,,,,
,,,STARTER 2,0,0,,,,
,,ROLL ON,STARTER 1,0,0,,,,
,,UNDEFINED,STARTER 1,0,0,,,,
,MOSQUITO,,STARTER 3,,,,,,
,,AEROSOL,STARTER 1,"17,306",1441, € 	12.01 ,,,
,,GEL BOTTLE,STARTER 1,546,80, € 	6.82 ,,,
,,GEL TUBE,STARTER 1,"7,393",810, € 	9.13 ,,,
,,LIQUID PUMP,STARTER 1,"3,819",495, € 	7.71 ,,,
,,,STARTER 2,"2,376",192, € 	12.38 ,,,
,,,STARTER 3,"4,887",202, € 	24.19 ,,,
,,PEN,STARTER 1,"13,983",2003, € 	6.98 ,,,
,,ROLL ON,STARTER 1,"5,180",1217, € 	4.26 ,,,
,,UNDEFINED,STARTER 1,"4,576",579, € 	7.90 ,,,
,OTHER FLYING,GEL BOTTLE,STARTER 1,"2,698",214, € 	12.61 ,,,
,,,STARTER 3,"5,919",343, € 	17.26 ,,,
,,LIQUID PUMP,STARTER 1,"3,500",503, € 	6.96 ,,,
,,PEN,STARTER 2,"6,794",414, € 	16.41 ,,,
,,ROLL ON,STARTER 1,,,,,,
Grand Total,,,,"26,434,832",1869084, € 	14.14 ,,,
