Category Name,Segment Custom,Form,Package Configuration Value,Value Sales,Unit Sales,Price (Euro),,,
,,,REFILL 2,"186,567",21723, € 	8.59 ,,,
,,,REFILL 2 + 2,"57,473",8946, € 	6.42 ,,,
,,,REFILL 3,"290,439",25659, € 	11.32 ,,,
,,,REFILL 3 + 3,"8,144",210, € 	38.78 ,,,
,,,REFILL AO,"41,586",1274, € 	32.64 ,,,
,,,STARTER 1,"395,626",13970, € 	28.32 ,,,
,,,STARTER 2,768,45, € 	17.07 ,,,
,,,STARTER 2 + 2,"12,790",854, € 	14.98 ,,,
,,,STARTER 3,"2,110",100, € 	21.10 ,,,
,,,STARTER 4,62,3, € 	20.79 ,,,
,,,STARTER 6,,,,,,
,,,STARTER AO,"61,336",1727, € 	35.52 ,,,
,,ELECTRIC MAT,REFILL 1,"4,655",151, € 	30.83 ,,,
,,,REFILL 3,"9,535",587, € 	16.24 ,,,
,,,REFILL AO,457,102, € 	4.49 ,,,
,,,STARTER 1,"450,297",15347, € 	29.34 ,,,
,,,STARTER 2,"9,651",805, € 	11.99 ,,,
,,,STARTER 3,"4,767",409, € 	11.65 ,,,
,,,STARTER 4,459,5, € 	91.86 ,,,
,,,STARTER 6,"2,943",161, € 	18.28 ,,,
,,,STARTER AO,"40,163",3419, € 	11.75 ,,,
,,ELECTRIC SAND,REFILL 1,"8,553",249, € 	34.35 ,,,
,,,REFILL 2,,,,,,
,,,REFILL 3,"407,008",45554, € 	8.93 ,,,
,,,REFILL 4 + 4,"8,796",260, € 	33.83 ,,,
,,,STARTER 1,754,150, € 	5.03 ,,,
,,,STARTER 2,"49,304",6002, € 	8.21 ,,,
,,LAMP/LANTERN,STARTER 1,,,,,,
,,,STARTER 6,"7,755",165, € 	47.00 ,,,
,,LIQUID BOTTLE,STARTER 1,"60,991",2989, € 	20.41 ,,,
,,,STARTER 2,"2,963",128, € 	23.15 ,,,
,,LIQUID PUMP,STARTER 1,"7,081",1121, € 	6.32 ,,,
,,,STARTER 4,"1,120",29, € 	38.61 ,,,
,,LIQUID TRIGGER,STARTER 1,"23,983",738, € 	32.50 ,,,
,,,STARTER 3,"1,818",105, € 	17.32 ,,,
,,LOTION BOTTLE,STARTER 2,743,43, € 	17.29 ,,,
,,LOTION TUBE,STARTER 1,"2,007",279, € 	7.19 ,,,
,,OIL SPRAY,STARTER 1,"6,223",429, € 	14.50 ,,,
,,PAPER/CARD,REFILL 1,"1,354",257, € 	5.27 ,,,
,,,STARTER 1,"2,837",323, € 	8.78 ,,,
,,,STARTER AO,"8,915",401, € 	22.23 ,,,
,,PELLET/GRANULE,STARTER 6,"37,587",1179, € 	31.88 ,,,
,,POWDER,STARTER 1,"2,301",99, € 	23.25 ,,,
,,STICK,STARTER 1,"5,899",376, € 	15.69 ,,,
,,,STARTER AO,"62,859",2038, € 	30.84 ,,,
,,TORCH,STARTER 1,"22,630",864, € 	26.19 ,,,
,,,STARTER 3,"7,742",259, € 	29.89 ,,,
,,,STARTER 6,,,,,,
,,TRAP,STARTER 1,"191,490",1565, € 	122.36 ,,,
,,,STARTER 2,"15,673",208, € 	75.35 ,,,
,,,STARTER 3,"26,242",480, € 	54.67 ,,,
,,,STARTER 4,"13,848",409, € 	33.86 ,,,
,,,STARTER 5,"14,357",200, € 	71.79 ,,,
,MOTH,,STARTER 1,"2,022",46, € 	43.96 ,,,
,,,STARTER 2,"1,414",78, € 	18.12 ,,,
,,,STARTER 3,"4,550",241, € 	18.88 ,,,
,,,STARTER 6,"1,781",117, € 	15.22 ,,,
,,,STARTER AO,452,48, € 	9.42 ,,,
,,AEROSOL,STARTER 1,"61,493",6784, € 	9.06 ,,,
,,,STARTER 3,,,,,,
,,ASSORTED FORM,STARTER 1,"4,958",1156, € 	4.29 ,,,
,,BAIT SOLID,STARTER 3,"68,577",10706, € 	6.41 ,,,
,,,STARTER 5,714,80, € 	8.93 ,,,
,,BALL,STARTER 1,"309,897",29876, € 	10.37 ,,,
,,,STARTER 2,"11,853",332, € 	35.70 ,,,
,,,STARTER 3,,,,,,
,,,STARTER 6,538,29, € 	18.56 ,,,
,,,STARTER AO,"4,082",222, € 	18.39 ,,,
,,GEL BOTTLE,STARTER 1,"2,646",1234, € 	2.14 ,,,
,,GLUE STRIP,STARTER 1,"11,388",2181, € 	5.22 ,,,
,,,STARTER 3,"524,519",50737, € 	10.34 ,,,
,,,STARTER AO,"170,826",10022, € 	17.05 ,,,
,,PAPER/CARD,STARTER 1,"50,362",6310, € 	7.98 ,,,
,,,STARTER 3,"2,540",28, € 	90.73 ,,,
,,,STARTER 6,"10,672",439, € 	24.31 ,,,
,,,STARTER AO,,,,,,
,,SACHET,STARTER 1,"94,371",15321, € 	6.16 ,,,
,,,STARTER 2,"7,961",2364, € 	3.37 ,,,
,,,STARTER 3,"3,317",197, € 	16.84 ,,,
,,,STARTER 4,"2,587",215, € 	12.03 ,,,
,,,STARTER 6,"114,105",15200, € 	7.51 ,,,
,,,STARTER AO,"8,022",309, € 	25.96 ,,,
,,TRAP,STARTER 1,"129,430",21597, € 	5.99 ,,,
,,,STARTER 2,"9,431",1662, € 	5.67 ,,,
,,,STARTER 3,"138,935",11220, € 	12.38 ,,,
,,,STARTER 6,"8,737",318, € 	27.48 ,,,
,,,STARTER AO,"14,471",591, € 	24.49 ,,,
,,WOOD,STARTER 1,"40,803",3463, € 	11.78 ,,,
,,,STARTER AO,"22,799",1665, € 	13.69 ,,,
,MULTI CRAWLING,BAIT SOLID,STARTER 1,"11,021",335, € 	32.90 ,,,
,,BAIT STATION,STARTER 2,"8,883",715, € 	12.42 ,,,
,,,STARTER AO,"13,711",264, € 	51.93 ,,,
,,FOGGER/FUMIGATOR/BOMB,STARTER 1,"16,709",532, € 	31.41 ,,,
,,GEL BOTTLE,STARTER 1,"2,664",114, € 	23.37 ,,,
,,GEL TUBE,STARTER 1,"79,908",4943, € 	16.17 ,,,
,,GLUE STRIP,STARTER 1,"29,872",2486, € 	12.02 ,,,
,,LIQUID BOTTLE,STARTER 1,999,43, € 	23.22 ,,,
,,LIQUID TRIGGER,STARTER 1,"1,206",92, € 	13.11 ,,,
,,POWDER,STARTER 1,"12,796",566, € 	22.61 ,,,
,,TRAP,STARTER 1,"3,611",777, € 	4.65 ,,,
,MULTI FLYING & CRAWLING,AEROSOL,STARTER 1,335,17, € 	19.73 ,,,
,,ALL OTHER FORM,STARTER 1,"7,595",151, € 	50.30 ,,,
,,ASSORTED FORM,REFILL 1,"14,909",187, € 	79.72 ,,,
,,,REFILL 2,"3,023",37, € 	81.70 ,,,
,,AUTOMATIC SPRAY,REFILL 5,"10,329",907, € 	11.39 ,,,
,,BAIT SOLID,STARTER 1,"4,404",1272, € 	3.46 ,,,
,,BAIT STATION,STARTER 1,"4,958",140, € 	35.41 ,,,
,,,STARTER 2,"5,360",501, € 	10.70 ,,,
,,BALL,STARTER 1,"11,072",445, € 	24.88 ,,,
,,CANDLE,STARTER 1,"92,556",13129, € 	7.05 ,,,
,,,STARTER 2,"6,992",371, € 	18.85 ,,,
